&b / °	R_0 / 1/s
18.5	58.8
18.6	56.7
18.7	51.9
18.8	50.0
18.9	53.5
19.0	56.4
19.1	56.3
19.2	55.3
19.3	58.1
19.4	80.8
19.5	18.8
19.6	94.3
19.7	74.1
19.8	52.1
19.9	46.2
20.0	44.8
20.1	43.7
20.2	43.4
20.3	41.0
20.4	43.6
20.5	38.4
20.6	39.8
20.7	43.0
20.8	35.8
20.9	39.2
21.0	40.3
21.1	39.0
21.2	37.7
21.3	34.9
21.4	39.8
21.5	38.9
21.6	37.5
21.7	39.7
21.8	52.6
21.9	103.4
22.0	170.6
22.1	194.0
22.2	169.2
22.3	108.7
22.4	54.7
22.5	38.4
22.6	31.1
22.7	35.6
22.8	34.3
22.9	28.6
23.0	30.2
