&b / °	R_0 / 1/s	R_1 / 1/s
8.0	108.2	
8.1	117.3	
8.2	111.1	
8.3	119.2	
8.4	118.3	
8.5	122.8	
8.6	136.9	
8.7	150.8	
8.8	150.4	
8.9	144.7	
9.0	124.2	
9.1	116.3	
9.2	113.8	
9.3	111.7	
9.4	119.3	
9.5	135.6	
9.6	158.5	
9.7	182.6	
9.8	232.1	
9.9	218.1	
10.0	213.5	
10.1	167.6	
10.2	129.6	
10.3	123.5	
10.4	114.3	
10.5	102.8	
10.6		96.7
10.7		88.2
10.8		90.6
10.9		90.7
11.0		87.4
